Temperature (K)	Pressure (psia)	Density (lbm/ft3)	Volume (ft3/lbm)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (ft/s)	Joule-Thomson (F/psia)	Viscosity (lbm/ft*s)	Therm. Cond. (W/m*K)	Phase
258.87	2600.0	64.652	0.015467	5.1989	5.9608	23.986	40.152	78.798	2627.4	-0.0011111	8.7482e-05	0.13417	liquid
258.93	2600.0	64.639	0.015471	5.2040	5.9660	24.006	40.151	78.808	2626.2	-0.0011068	8.7422e-05	0.13411	liquid
259.00	2600.0	64.625	0.015474	5.2091	5.9713	24.026	40.150	78.819	2625.1	-0.0011024	8.7362e-05	0.13404	liquid
259.07	2600.0	64.611	0.015477	5.2142	5.9765	24.047	40.149	78.829	2623.9	-0.0010981	8.7303e-05	0.13398	liquid
259.13	2600.0	64.597	0.015481	5.2193	5.9818	24.067	40.148	78.839	2622.7	-0.0010938	8.7243e-05	0.13391	liquid
259.20	2600.0	64.583	0.015484	5.2244	5.9870	24.087	40.147	78.849	2621.6	-0.0010894	8.7184e-05	0.13385	liquid
259.27	2600.0	64.569	0.015487	5.2295	5.9923	24.107	40.146	78.859	2620.4	-0.0010851	8.7124e-05	0.13378	liquid
259.33	2600.0	64.555	0.015491	5.2345	5.9975	24.128	40.145	78.870	2619.2	-0.0010807	8.7065e-05	0.13372	liquid
259.40	2600.0	64.541	0.015494	5.2396	6.0028	24.148	40.145	78.880	2618.1	-0.0010763	8.7006e-05	0.13365	liquid
259.47	2600.0	64.527	0.015497	5.2447	6.0081	24.168	40.144	78.890	2616.9	-0.0010719	8.6946e-05	0.13359	liquid
259.53	2600.0	64.513	0.015501	5.2498	6.0133	24.188	40.143	78.901	2615.8	-0.0010676	8.6887e-05	0.13352	liquid
259.60	2600.0	64.499	0.015504	5.2549	6.0186	24.209	40.142	78.911	2614.6	-0.0010632	8.6828e-05	0.13346	liquid
259.67	2600.0	64.485	0.015507	5.2600	6.0238	24.229	40.141	78.921	2613.4	-0.0010588	8.6769e-05	0.13339	liquid
259.73	2600.0	64.472	0.015511	5.2651	6.0291	24.249	40.140	78.932	2612.3	-0.0010544	8.6710e-05	0.13333	liquid
259.80	2600.0	64.458	0.015514	5.2702	6.0344	24.270	40.139	78.942	2611.1	-0.0010500	8.6651e-05	0.13326	liquid
259.87	2600.0	64.444	0.015517	5.2753	6.0396	24.290	40.138	78.952	2609.9	-0.0010456	8.6592e-05	0.13320	liquid
259.93	2600.0	64.430	0.015521	5.2804	6.0449	24.310	40.137	78.963	2608.8	-0.0010411	8.6533e-05	0.13313	liquid
260.00	2600.0	64.416	0.015524	5.2855	6.0502	24.330	40.137	78.973	2607.6	-0.0010367	8.6474e-05	0.13307	liquid
260.07	2600.0	64.402	0.015528	5.2906	6.0554	24.351	40.136	78.983	2606.4	-0.0010323	8.6415e-05	0.13300	liquid
260.13	2600.0	64.388	0.015531	5.2957	6.0607	24.371	40.135	78.994	2605.3	-0.0010279	8.6357e-05	0.13294	liquid
260.20	2600.0	64.374	0.015534	5.3008	6.0660	24.391	40.134	79.004	2604.1	-0.0010234	8.6298e-05	0.13287	liquid
260.27	2600.0	64.360	0.015538	5.3059	6.0712	24.411	40.133	79.015	2602.9	-0.0010190	8.6239e-05	0.13281	liquid
260.33	2600.0	64.346	0.015541	5.3110	6.0765	24.432	40.132	79.025	2601.8	-0.0010145	8.6181e-05	0.13274	liquid
260.40	2600.0	64.332	0.015544	5.3161	6.0818	24.452	40.131	79.036	2600.6	-0.0010100	8.6122e-05	0.13268	liquid
260.47	2600.0	64.318	0.015548	5.3212	6.0870	24.472	40.130	79.046	2599.4	-0.0010056	8.6064e-05	0.13261	liquid
