time,dm_ox_dt,dr_dt,thrust,n_lo,n_go,OF,r,V_chmb,p_chmb,p_tank
0.28,0.14221534208716755,-0.032314237719055665,1260.0228631506588,0.04868396007223256,0.0002740181634267,0.36750055266142967,0.2111097050755883,118.31994509180147,1038.0797461810928,1544.8185540617176
0.28500000000000003,0.14085271366091068,-0.03362615542706541,1262.0540958744282,0.04866795880968957,0.0002761647696141253,0.3611010460393525,0.20449039637977046,118.4236490559185,1041.4575989625162,1538.0792696815502
0.29,0.13944503370516617,-0.03510135924504655,1264.3443996462524,0.0486521174635299,0.00027828960983191536,0.35444452481927635,0.19758069381238302,118.52837861580126,1045.275460688158,1531.5162348012695
0.295,0.13798453793924967,-0.036774882075197364,1266.9206566788473,0.048636442033777406,0.0002803918892583749,0.3475034936932257,0.1903415582758804,118.63424022172983,1049.5808582659595,1525.1255296467716
0.3,0.1364621241796159,-0.03869314838018219,1269.814117224897,0.04862093955448951,0.00028247067474653154,0.34024691447817423,0.18272481201724156,118.74135827401277,1054.4293869429018,1518.9037293875815
0.305,0.1348670918189685,-0.04091917941677834,1273.0606811185228,0.04860561827534256,0.0002845248705641368,0.33264020284010476,0.17466987154904873,118.84988020194362,1059.8854254711855,1512.847931048405
0.31,0.13318689462411498,-0.043541015394198385,1276.7004238338488,0.0485904878713001,0.0002865531903852124,0.32464599307624864,0.1660988226687008,118.95998360433603,1066.0216614095173,1506.9557893356573
0.315,0.13140703077651297,-0.0466859880891621,1280.775005823543,0.04857555966477288,0.0002885541276252793,0.31622683609875435,0.15690868591334922,119.07188658888552,1072.9151407114414,1501.225560071753
0.32,0.12951142345197433,-0.05054630861111909,1285.319300767773,0.04856084680454386,0.00029052593158866344,0.3073527856837455,0.14695864506325043,119.18586325584468,1080.6336152684898,1495.6561449355117
0.325,0.1274843026368294,-0.05542826786627131,1290.3366840603946,0.0485463642309137,0.00029246661227367405,0.298021922321277,0.13604759053377494,119.30226776624522,1089.1941037144586,1490.2471173659067
0.33,0.12531662488751566,-0.06185570256188436,1295.724293897799,0.04853212791154357,0.0002943740428788326,0.2883181129470182,0.123871295484468,119.42157315983755,1098.4356736659327,1484.998670521148
0.335,0.12302699633379176,-0.07081502439588985,1301.0238327426405,0.04851815170038621,0.00029624638064462504,0.27859099857280045,0.10993135793213708,119.54443509218987,1107.5918131381554,1479.911312268753
0.34,0.12073443889877161,-0.08444006247333195,1304.4284915544404,0.04850443593017073,0.0002980835946501279,0.27012899593994455,0.0933093316342617,119.67178589952304,1113.5828859216012,1474.9847542798975
0.34500000000000003,0.11895266256173002,-0.10846693489499247,1297.4027996216869,0.04849092257473464,0.0002998934698582665,0.26866661090833854,0.07195761550018243,119.80480863346169,1101.8506546642318,1470.2140328906016
0.35000000000000003,0.12012937417892844,-0.1656817640150467,1211.4886301216009,0.048477275541565015,0.0003017210246698955,0.3248769682753928,0.03934316025382049,119.94164936839073,960.9938196624748,1465.574519856989
0.355,0.1408405422847432,-0.494389824559564,,0.04846127566172443,0.0003038633979342624,-0.0866188703774527,-0.05797747671072967,119.87328567983094,-2913.2782143778054,1460.9491557242022
